epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,7215.12,1.83427,2.2795,0.01553,0.5982,0.50155,0.54332,0.27445,1.77604,1.77957,0.0148,0.00796359,0.00265453,0.00796359,0.00265453,0.00796359,0.00265453,0.00796359,0.00265453
31,7525.83,1.81599,2.25219,0.01551,0.58939,0.51409,0.5458,0.27208,1.79189,1.7362,0.01496,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525
32,7758.44,1.82534,2.24557,0.01552,0.60216,0.51275,0.55209,0.27673,1.78136,1.71924,0.01485,0.00718641,0.00239547,0.00718641,0.00239547,0.00718641,0.00239547,0.00718641,0.00239547
33,7995.81,1.80928,2.23362,0.01543,0.60349,0.52566,0.5584,0.28179,1.76812,1.70774,0.01479,0.00679888,0.00226629,0.00679888,0.00226629,0.00679888,0.00226629,0.00679888,0.00226629
34,8262.73,1.81116,2.21763,0.01537,0.61791,0.52024,0.56306,0.28514,1.77034,1.71035,0.01462,0.00641347,0.00213782,0.00641347,0.00213782,0.00641347,0.00213782,0.00641347,0.00213782
35,8481.88,1.80233,2.21612,0.01526,0.61235,0.5313,0.57165,0.29022,1.76216,1.68124,0.01465,0.00603126,0.00201042,0.00603126,0.00201042,0.00603126,0.00201042,0.00603126,0.00201042
36,8712.43,1.79409,2.19646,0.0152,0.63121,0.52507,0.57417,0.29255,1.73704,1.68246,0.01443,0.00565327,0.00188442,0.00565327,0.00188442,0.00565327,0.00188442,0.00565327,0.00188442
37,9007.16,1.78798,2.15657,0.01513,0.61858,0.53561,0.57766,0.29451,1.75233,1.65816,0.01449,0.00528055,0.00176018,0.00528055,0.00176018,0.00528055,0.00176018,0.00528055,0.00176018
38,9241.01,1.78517,2.16493,0.01513,0.62967,0.54365,0.58445,0.29797,1.74796,1.65206,0.01441,0.00491412,0.00163804,0.00491412,0.00163804,0.00491412,0.00163804,0.00491412,0.00163804
39,9503.26,1.78303,2.14952,0.01501,0.63097,0.54362,0.58585,0.29954,1.74223,1.63997,0.01439,0.00455498,0.00151833,0.00455498,0.00151833,0.00455498,0.00151833,0.00455498,0.00151833
40,9736.04,1.77451,2.13813,0.01501,0.64181,0.5406,0.59018,0.30548,1.7285,1.64217,0.01418,0.00420412,0.00140137,0.00420412,0.00140137,0.00420412,0.00140137,0.00420412,0.00140137
41,9967.41,1.7761,2.12381,0.01485,0.6389,0.55127,0.59915,0.30985,1.73358,1.61446,0.01419,0.0038625,0.0012875,0.0038625,0.0012875,0.0038625,0.0012875,0.0038625,0.0012875
42,10199.8,1.77399,2.12221,0.01494,0.6406,0.55469,0.6019,0.31337,1.73352,1.59842,0.01424,0.00353106,0.00117702,0.00353106,0.00117702,0.00353106,0.00117702,0.00353106,0.00117702
43,10433.8,1.76897,2.09849,0.01479,0.65425,0.55236,0.6043,0.31352,1.7241,1.6096,0.01411,0.00321069,0.00107023,0.00321069,0.00107023,0.00321069,0.00107023,0.00321069,0.00107023
44,10666.7,1.76442,2.07636,0.01469,0.64998,0.55808,0.60688,0.31638,1.7294,1.59704,0.01415,0.0029023,0.000967432,0.0029023,0.000967432,0.0029023,0.000967432,0.0029023,0.000967432
45,10895.3,1.76083,2.06786,0.0147,0.64611,0.56463,0.60723,0.3169,1.72102,1.59485,0.01406,0.00260671,0.000868902,0.00260671,0.000868902,0.00260671,0.000868902,0.00260671,0.000868902
46,11113.9,1.60876,1.50184,0.01487,0.65269,0.56167,0.61019,0.31954,1.7176,1.58337,0.01402,0.00232473,0.000774911,0.00232473,0.000774911,0.00232473,0.000774911,0.00232473,0.000774911
47,11336,1.59182,1.46614,0.01461,0.65963,0.56567,0.61567,0.32394,1.71671,1.56662,0.01401,0.00205715,0.000685717,0.00205715,0.000685717,0.00205715,0.000685717,0.00205715,0.000685717
48,11552.1,1.59574,1.45069,0.01464,0.66355,0.5703,0.62164,0.32817,1.71393,1.56145,0.01392,0.00180469,0.000601564,0.00180469,0.000601564,0.00180469,0.000601564,0.00180469,0.000601564
49,11750.6,1.58867,1.4291,0.01439,0.66663,0.57295,0.62538,0.33023,1.71252,1.55173,0.0139,0.00156805,0.000522683,0.00156805,0.000522683,0.00156805,0.000522683,0.00156805,0.000522683
50,11952.4,1.57899,1.40863,0.0142,0.67376,0.57541,0.629,0.33223,1.71658,1.53971,0.01392,0.00134787,0.00044929,0.00134787,0.00044929,0.00134787,0.00044929,0.00134787,0.00044929
51,12145.7,1.5746,1.38445,0.01408,0.6712,0.578,0.63044,0.33392,1.71813,1.53675,0.01392,0.00114476,0.000381587,0.00114476,0.000381587,0.00114476,0.000381587,0.00114476,0.000381587
52,12381.1,1.56524,1.38399,0.01417,0.67825,0.58094,0.63472,0.33607,1.71242,1.53438,0.01388,0.000959277,0.000319759,0.000959277,0.000319759,0.000959277,0.000319759,0.000959277,0.000319759
53,12596.8,1.56825,1.35889,0.01398,0.68024,0.58164,0.63661,0.33784,1.71143,1.53486,0.01384,0.000791925,0.000263975,0.000791925,0.000263975,0.000791925,0.000263975,0.000791925,0.000263975
54,12800.3,1.5528,1.35259,0.01395,0.6789,0.58632,0.63917,0.33921,1.71133,1.52681,0.01386,0.000643165,0.000214388,0.000643165,0.000214388,0.000643165,0.000214388,0.000643165,0.000214388
55,12994.5,1.54828,1.3322,0.01393,0.67693,0.58676,0.6389,0.33881,1.71193,1.52352,0.01386,0.000513405,0.000171135,0.000513405,0.000171135,0.000513405,0.000171135,0.000513405,0.000171135
56,13187.7,1.55878,1.33575,0.01391,0.67953,0.58444,0.64048,0.33931,1.71514,1.51852,0.01387,0.000403001,0.000134334,0.000403001,0.000134334,0.000403001,0.000134334,0.000403001,0.000134334
57,13370.2,1.54325,1.32835,0.01381,0.68477,0.58295,0.64016,0.33942,1.71663,1.51577,0.0139,0.000312254,0.000104085,0.000312254,0.000104085,0.000312254,0.000104085,0.000312254,0.000104085
58,13710.4,1.54665,1.31497,0.01379,0.68293,0.58226,0.64022,0.33975,1.71542,1.51478,0.0139,0.000241414,8.04714e-05,0.000241414,8.04714e-05,0.000241414,8.04714e-05,0.000241414,8.04714e-05
59,13971.5,1.54917,1.31163,0.01377,0.67786,0.5865,0.64081,0.33996,1.71551,1.51304,0.0139,0.000190675,6.35583e-05,0.000190675,6.35583e-05,0.000190675,6.35583e-05,0.000190675,6.35583e-05
60,14193.5,1.55095,1.31206,0.0139,0.67865,0.5888,0.64073,0.34056,1.71743,1.50987,0.01391,0.000160176,5.33919e-05,0.000160176,5.33919e-05,0.000160176,5.33919e-05,0.000160176,5.33919e-05
